objetivo,resultado,dificultad,fecha_ultima_revision
Was a breeze,Era muy fácil,dificil,23/07/2025
Throwing down the drain ,Desecharlo,dificil,24/07/2025
Worn out ,"Quemado, desgastado",dificil,24/07/2025
To be too choosy ,Muy exigente,dificil,24/07/2025
Posh parts of town ,Zonas elegantes de la ciudad ,dificil,24/07/2025
Will be snapped,Se romperá,dificil,24/07/2025
Wind you up,"Liarte, confundirte",muy_dificil,24/07/2025
Cheesy,"De poco valor, cutre",dificil,24/07/2025
Goodish --- ish,"Bastante bueno, -ish",dificil,24/07/2025
Overnight successes,Éxito inmediato,dificil,24/07/2025
disaster-prone,"Tendente al desastre, prone: tendencia",dificil,24/07/2025
cravings,"antojos, anhelos, ansias",muy_dificil,24/07/2025
give it a go,"Pruebalo, inténtalo",dificil,24/07/2025
struggle,lucha,facil,24/07/2025
fallen of the wagon,"Rendirse, desistir",dificil,24/07/2025
test the waters,Probar tentativamente,dificil,24/07/2025
scruffy,"desaliñado, desgarbado",muy_dificil,24/07/2025
kind of,"Más o menos, del tipo de",facil,24/07/2025
